indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
labor_force,Philadelphia,0.679299354,0.587,0.601,0.579,0.582,0.589,0.597,0.598,0.604,0.597,0.669686349,,0.689207951,0.652538978,0.152742353,341537,368139,32338,0.691437429,0.662924438,0.616691487,0.690081331,280917,295308,94331,60226
labor_force,Phoenix,0.739327001,0.69,0.674,0.654,0.669,0.657,0.65,0.655,0.647,0.669,0.750271606,,0.733178925,0.763251805,0.199529763,339346,465189,34794,0.780623324,0.73196447,0.727169408,0.721478866,382041,58629,333802,35414
labor_force,Pittsburgh,0.689559405,0.608,0.617,0.623,0.597,0.629,0.631,0.624,0.614,0.636,0.734059406,,0.719323013,0.752647748,0.157412168,87128,72273,7348,0.768550297,0.657738784,NA,NA,117160,29572,NA,NA
labor_force,Washington,0.749170076,0.68,0.667,0.668,0.674,0.69,0.688,0.689,0.698,0.693,0.777743704,,0.768486705,0.786968115,0.278740832,190119,195379,23412,0.869100918,0.679045181,0.80022818,NA,183543,153223,43531,NA
pre_K,Baltimore,0.424,0.576239625,0.484343257,0.484834649,0.461185873,0.502501959,0.508695158,0.524485205,0.571378971,0.480797805,0.475199812,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Boston,0.767,0.657791328,0.657072298,0.60546993,0.543960859,0.591633879,0.59347118,0.596717044,0.585478464,0.586862833,0.654651449,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Chicago,0.549,0.533542526,0.558877426,0.498340692,0.500759621,0.549329734,0.561451304,0.570398808,0.562744727,0.609335754,0.537302427,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Cleveland,0.389,0.419314064,0.502204842,0.564420302,0.461173559,0.412688092,0.414483821,0.424539463,0.415114683,0.521520515,0.319509407,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Detroit,0.46,0.569822222,0.397006944,0.428063763,0.467358058,0.458688386,0.410072304,0.436479848,0.368716707,0.386460926,0.434450552,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Houston,0.427,0.431906731,0.410768015,0.406144541,0.405234183,0.426358737,0.407851721,0.444654035,0.402069247,0.418546436,0.428717417,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Philadelphia,0.484,0.489854273,0.554465999,0.503132302,0.519080003,0.483552781,0.44787715,0.459450372,0.479664589,0.51423542,0.531805601,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Phoenix,0.308,0.282068724,0.29461702,0.320946566,0.26739458,0.309234396,0.296077577,0.282495667,0.328861633,0.353061017,0.380037895,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Pittsburgh,0.61,0.548649071,0.583457249,0.661180124,0.602423061,0.457780342,0.573007563,0.663909774,0.398438886,0.503950695,0.512323612,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Washington,0.678,0.736024632,0.588951493,0.739093533,0.745657568,0.783919267,0.784976397,0.863601978,0.745537386,0.777107728,0.73214683,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Baltimore,0.553503858,0.539796112,0.597693377,0.546152127,0.571938705,0.531803406,0.564397623,0.550147994,0.535416242,0.48941307,0.512678502,,0.486510009,0.510428232,0.572277028,19565,29882,11370,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Boston,0.509436331,0.50187427,0.49769944,0.518830971,0.537377225,0.505887489,0.515173283,0.524124864,0.541153422,0.50465883,0.506231902,,0.488802851,0.510794958,0.539990572,33330,36837,13746,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Chicago,0.526569475,0.518546729,0.54567425,0.549046933,0.548756589,0.523040378,0.510153272,0.532245031,0.5101477,0.493041523,0.489223405,,0.422786824,0.504540646,0.618285525,89293,128284,48562,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Cleveland,0.52714231,0.59339138,0.575849569,0.590692749,0.589317331,0.587191501,0.588146725,0.588010893,0.524322865,0.548643001,0.527778971,,0.461698048,0.550480423,0.606579363,14688,26755,7689,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Detroit,0.628408514,0.661586663,0.679320448,0.697551246,0.69323511,0.671789791,0.661132804,0.653086574,0.643521827,0.624048434,0.587642768,,0.580300623,0.590520851,0.592518651,22276,38786,11278,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Houston,0.50358012,0.472100258,0.502488644,0.496782573,0.504693364,0.499100652,0.477736454,0.496849656,0.504468574,0.516153928,0.496691645,,0.473662419,0.485866674,0.653193895,86945,108495,27732,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Philadelphia,0.539171919,0.541423933,0.550979976,0.588729701,0.581224033,0.569367787,0.575993762,0.574711786,0.563684217,0.533514851,0.536237934,,0.490279559,0.542382816,0.635181953,47790,60147,24384,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Phoenix,0.519687509,0.51794505,0.527022664,0.558775764,0.517592891,0.537892001,0.492636243,0.50962829,0.498158939,0.486799868,0.475603811,,0.468874283,0.449428089,0.6339528,39377,56423,15419,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Pittsburgh,0.541833099,0.544979062,0.483247173,0.532170046,0.49915153,0.485341302,0.508016048,0.494685175,0.49981599,0.446746344,0.459532935,,0.463215182,0.426590087,0.53666427,16427,10027,4479,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Washington,0.484360038,0.474712194,0.491275958,0.506974726,0.492677184,0.481241993,0.494578575,0.486349881,0.48364748,0.484173199,0.47908628,,0.452376144,0.481329273,0.55603004,29119,32560,11328,NA,NA,NA,NA,NA,NA,NA,NA
college,Baltimore,0.241,0.247,0.261,0.242,0.275,0.269,0.287,0.3,0.299,0.308,0.306,,0.434,0.263866888,0.239,50996,59802,19734,0.56,0.158,0.246,0.714,,,,
college,Boston,0.403,0.421,0.447,0.443,0.427,0.433,0.452,0.465,0.466,0.484,0.482,,0.679,0.406086516,0.294,112541,92993,23549,0.701,0.197,0.205,0.568,,,,
college,Chicago,0.296,0.311,0.331,0.333,0.335,0.345,0.351,0.36,0.366,0.385,0.388,,0.541,0.350895716,0.249,293170,352613,82808,0.626,0.211,0.16,0.629,,,,
college,Cleveland,0.13,0.133,0.137,0.133,0.147,0.152,0.165,0.151,0.162,0.163,0.17,,0.242,0.15702942,0.125,14468,22999,6614,0.25,0.111,0.092,0.353,,,,
college,Detroit,0.118,0.108,0.124,0.12,0.13,0.13,0.13,0.138,0.142,0.149,0.146,,0.169,0.135899857,0.144,17470,32526,13604,0.344,0.115,0.041,0.369,,,,
college,Houston,0.276,0.284,0.279,0.289,0.287,0.297,0.314,0.304,0.309,0.325,0.327,,0.371,0.308394343,0.315,427232,256746,77480,0.598,0.225,0.125,0.61,,,,
college,Philadelphia,0.211,0.21,0.232,0.226,0.236,0.243,0.252,0.26,0.274,0.286,0.283,,0.428,0.24173999,0.189,128389,136381,40079,0.408,0.178,0.151,0.384,,,,
college,Phoenix,0.235,0.229,0.247,0.249,0.26,0.267,0.267,0.274,0.266,0.279,0.284,,0.294,0.28090037,0.283,74958,171204,49397,0.406,0.203,0.095,0.556,,,,
college,Pittsburgh,0.32,0.342,0.326,0.349,0.331,0.384,0.397,0.384,0.413,0.457,0.441,,0.612,0.408049987,0.263,41215,39183,12278,0.491,0.182,0.52,0.752,,,,
college,Washington,0.475,0.482,0.485,0.501,0.525,0.53,0.551,0.55,0.567,0.568,0.573,,0.723,0.52171041,0.436,117334,129524,36661,0.908,0.267,0.436,0.819,,,,
poverty,Baltimore,0.2,0.193,0.21,0.256,0.251,0.248,0.233,0.236,0.229,0.219,0.222,,0.255221657,0.189671311,0.197469747,72632,42552,15796,0.132,0.261,0.305,0.174,,,,
