indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
labor_force,Chicago,0.655,0.663,0.664,0.657,0.663,0.667,0.664,0.659,0.66,0.67,0.667,0.673,0.671577745,0.672387486,0.672463029,0.67165108,0.684915496,0.69227051,0.426387995,0.527415427,0.046196578,647364,800749,70138,0.415714666,0.236584824,0.275840178,0.080765665,631159.208,359195.146,418794.626,122622.552
labor_force,Cleveland,0.597,0.603,0.596,0.604,0.578,0.576,0.595,0.59,0.58,0.59,0.592,0.588,0.596745821,0.595309243,0.597988273,0.58814308,0.60030992,0.615317874,0.436341752,0.513187599,0.050470649,78665,92519,9099,0.413665376,0.410025682,0.129031578,0.027183395,74576.835,73920.66,23262.2,4900.704
labor_force,Detroit,0.536,0.553,0.542,0.547,0.529,0.521,0.529,0.539,0.53,0.552,0.53,0.545,0.565250325,0.547646967,0.549068409,0.536026389,0.550578176,0.545715979,0.421092144,0.522981265,0.055926591,113302,140717,15048,0.138302088,0.7335285,0.081246496,0.020697239,37212.528,197368.313,21860.751,5568.944
labor_force,Houston,0.673,0.698,0.688,0.67,0.682,0.682,0.69,0.682,0.681,0.675,0.662,0.67,0.66630531,0.667587841,0.673328815,0.671360974,0.68554069,0.671774111,0.409229415,0.537961501,0.052809084,506714,666112,65389,0.313942369,0.219611118,0.432881798,0.074842455,388728.151,271925.78,536000.736,92671.05
labor_force,Philadelphia,0.59,0.587,0.601,0.579,0.582,0.589,0.597,0.598,0.604,0.597,,0.611,0.61994204,0.61562358,0.628897833,0.642239528,0.643059818,0.648901537,0.435927995,0.513993923,0.050078082,354797,418334,40758,0.39904847,0.365814749,0.133907942,0.083384344,324781.16,297732.6,108986.201,67865.6
labor_force,Phoenix,0.681,0.69,0.674,0.654,0.669,0.657,0.65,0.655,0.647,0.669,0.673,0.685,0.676978597,0.679846853,0.675621912,0.67645064,0.689027781,0.696598914,0.408505599,0.542613553,0.048880848,362860,481983,43419,0.501176028,0.076141931,0.394145156,0.043922514,445175.621,67633.984,350104.165,39014.7
labor_force,Pittsburgh,0.584,0.608,0.617,0.623,0.597,0.629,0.631,0.624,0.614,0.636,0.632,0.628,0.660593243,0.641386948,0.631643345,0.647192069,0.645514537,0.646341872,0.502895318,0.440263945,0.056840737,85891,75194,9708,0.679596002,0.178499939,0.044241556,0.061997927,116070.24,30486.54,7556.148,10588.812
labor_force,Washington,0.669,0.68,0.667,0.668,0.674,0.69,0.688,0.689,0.698,0.693,0.705,0.707,0.708311572,0.706942054,0.70728737,0.717622012,0.727739074,0.712913127,0.428911782,0.517627325,0.053460893,173367,209226,21609,0.461639601,0.343168257,0.116022979,0.05014614,186595.65,138709.296,46896.72,20269.17
pre_K,Baltimore,0.424,0.576239625,0.484343257,0.484834649,0.461185873,0.502501959,0.508695158,0.524485205,0.571378971,0.480797805,0.475199812,0.54,0.49,,0.46,0.431909404,0.382412791,0.460505213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Boston,0.767,0.657791328,0.657072298,0.60546993,0.543960859,0.591633879,0.59347118,0.596717044,0.585478464,0.586862833,0.654651449,0.626,0.749,,0.44,0.633783001,0.708128848,0.650470089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Chicago,0.549,0.533542526,0.558877426,0.498340692,0.500759621,0.549329734,0.561451304,0.570398808,0.562744727,0.609335754,0.537302427,0.589,0.582,,0.59,0.553133893,0.481064593,0.544466912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Cleveland,0.389,0.419314064,0.502204842,0.564420302,0.461173559,0.412688092,0.414483821,0.424539463,0.415114683,0.521520515,0.319509407,0.4,0.478,,0.38,0.435178479,0.357448245,0.308617444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Detroit,0.46,0.569822222,0.397006944,0.428063763,0.467358058,0.458688386,0.410072304,0.436479848,0.368716707,0.386460926,0.434450552,0.36,0.423,,0.45,0.268791114,0.305030117,0.417675921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Houston,0.427,0.431906731,0.410768015,0.406144541,0.405234183,0.426358737,0.407851721,0.444654035,0.402069247,0.418546436,0.428717417,0.463,0.477,,0.57,0.455945959,0.494935445,0.45795234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
